GSSCode,hospital,date,attendees
E09000012,HOMERTON ,Nov-18,10392
E09000012,HOMERTON ,Dec-18,10407
E09000033,IMPERIAL COLLEGE ,Jan-18,9999
E09000033,IMPERIAL COLLEGE ,Feb-18,9033
E09000033,IMPERIAL COLLEGE ,Mar-18,10057
E09000033,IMPERIAL COLLEGE ,Apr-18,9645
E09000033,IMPERIAL COLLEGE ,May-18,10149
E09000033,IMPERIAL COLLEGE ,Jun-18,9773
E09000033,IMPERIAL COLLEGE ,Jul-18,10174
E09000033,IMPERIAL COLLEGE ,Aug-18,9501
E09000033,IMPERIAL COLLEGE ,Sep-18,9426
E09000033,IMPERIAL COLLEGE ,Oct-18,10011
E09000033,IMPERIAL COLLEGE ,Nov-18,9865
E09000033,IMPERIAL COLLEGE ,Dec-18,10166
E09000022,KING'S COLLEGE,Jan-18,16668
E09000022,KING'S COLLEGE,Feb-18,14353
E09000022,KING'S COLLEGE,Mar-18,16452
E09000022,KING'S COLLEGE,Apr-18,15414
E09000022,KING'S COLLEGE,May-18,16701
E09000022,KING'S COLLEGE,Jun-18,16105
E09000022,KING'S COLLEGE,Jul-18,16777
E09000022,KING'S COLLEGE,Aug-18,15338
E09000022,KING'S COLLEGE,Sep-18,15758
E09000022,KING'S COLLEGE,Oct-18,16260
E09000022,KING'S COLLEGE,Nov-18,16157
E09000022,KING'S COLLEGE,Dec-18,15982
E09000021,KINGSTON ,Jan-18,9047
E09000021,KINGSTON ,Feb-18,8124
E09000021,KINGSTON ,Mar-18,9278
E09000021,KINGSTON ,Apr-18,8854
E09000021,KINGSTON ,May-18,9578
E09000021,KINGSTON ,Jun-18,9157
E09000021,KINGSTON ,Jul-18,9667
E09000021,KINGSTON ,Aug-18,8748
E09000021,KINGSTON ,Sep-18,9158
E09000021,KINGSTON ,Oct-18,9590
E09000021,KINGSTON ,Nov-18,9667
E09000021,KINGSTON ,Dec-18,9688
E09000023,LEWISHAM AND GREENWICH ,Jan-18,13162
E09000023,LEWISHAM AND GREENWICH ,Feb-18,11969
E09000023,LEWISHAM AND GREENWICH ,Mar-18,13439
E09000023,LEWISHAM AND GREENWICH ,Apr-18,12477
E09000023,LEWISHAM AND GREENWICH ,May-18,13259
E09000023,LEWISHAM AND GREENWICH ,Jun-18,12925
E09000023,LEWISHAM AND GREENWICH ,Jul-18,13220
E09000023,LEWISHAM AND GREENWICH ,Aug-18,11960
E09000023,LEWISHAM AND GREENWICH ,Sep-18,12446
E09000023,LEWISHAM AND GREENWICH ,Oct-18,13361
E09000023,LEWISHAM AND GREENWICH ,Nov-18,13926
E09000023,LEWISHAM AND GREENWICH ,Dec-18,13739
E09000015,LONDON NORTH WEST ,Jan-18,12208
E09000015,LONDON NORTH WEST ,Feb-18,11140
E09000015,LONDON NORTH WEST ,Mar-18,12581
E09000015,LONDON NORTH WEST ,Apr-18,11537
E09000015,LONDON NORTH WEST ,May-18,12031
E09000015,LONDON NORTH WEST ,Jun-18,11606
E09000015,LONDON NORTH WEST ,Jul-18,11922
E09000015,LONDON NORTH WEST ,Aug-18,11123
E09000015,LONDON NORTH WEST ,Sep-18,11594
E09000015,LONDON NORTH WEST ,Oct-18,12332
E09000015,LONDON NORTH WEST ,Nov-18,12797
E09000015,LONDON NORTH WEST ,Dec-18,12713
E09000010,NORTH MIDDLESEX  ,Jan-18,15685
E09000010,NORTH MIDDLESEX  ,Feb-18,14041
E09000010,NORTH MIDDLESEX  ,Mar-18,15509
E09000010,NORTH MIDDLESEX  ,Apr-18,8138
E09000010,NORTH MIDDLESEX  ,May-18,8486
E09000010,NORTH MIDDLESEX  ,Jun-18,8214
E09000010,NORTH MIDDLESEX  ,Jul-18,8313
E09000010,NORTH MIDDLESEX  ,Aug-18,7590
E09000010,NORTH MIDDLESEX  ,Sep-18,7828
E09000010,NORTH MIDDLESEX  ,Oct-18,8452
E09000010,NORTH MIDDLESEX  ,Nov-18,8683
E09000010,NORTH MIDDLESEX  ,Dec-18,8685
E09000007,ROYAL FREE LONDON ,Jan-18,19763
E09000007,ROYAL FREE LONDON ,Feb-18,17829
E09000007,ROYAL FREE LONDON ,Mar-18,20453
E09000007,ROYAL FREE LONDON ,Apr-18,18962
E09000007,ROYAL FREE LONDON ,May-18,20604
E09000007,ROYAL FREE LONDON ,Jun-18,19472
E09000007,ROYAL FREE LONDON ,Jul-18,20481
E09000007,ROYAL FREE LONDON ,Aug-18,18378
E09000007,ROYAL FREE LONDON ,Sep-18,19076
E09000007,ROYAL FREE LONDON ,Oct-18,20167
E09000007,ROYAL FREE LONDON ,Nov-18,20486
E09000007,ROYAL FREE LONDON ,Dec-18,20410
E09000032,ST GEORGE'S  ,Jan-18,12982
E09000032,ST GEORGE'S  ,Feb-18,11760
E09000032,ST GEORGE'S  ,Mar-18,13421
E09000032,ST GEORGE'S  ,Apr-18,12626
E09000032,ST GEORGE'S  ,May-18,13625
E09000032,ST GEORGE'S  ,Jun-18,13225
E09000032,ST GEORGE'S  ,Jul-18,13749
E09000032,ST GEORGE'S  ,Aug-18,12596
E09000032,ST GEORGE'S  ,Sep-18,13023
E09000032,ST GEORGE'S  ,Oct-18,13449
E09000032,ST GEORGE'S  ,Nov-18,13207
E09000032,ST GEORGE'S  ,Dec-18,13046
E09000017,THE HILLINGDON ,Jan-18,5617
E09000017,THE HILLINGDON ,Feb-18,5088
E09000017,THE HILLINGDON ,Mar-18,5744
E09000017,THE HILLINGDON ,Apr-18,5287
E09000017,THE HILLINGDON ,May-18,5472
E09000017,THE HILLINGDON ,Jun-18,5313
E09000017,THE HILLINGDON ,Jul-18,5397
E09000017,THE HILLINGDON ,Aug-18,5084
E09000017,THE HILLINGDON ,Sep-18,5333
E09000017,THE HILLINGDON ,Oct-18,5564
E09000017,THE HILLINGDON ,Nov-18,5982
E09000017,THE HILLINGDON ,Dec-18,6264
E09000001,UNIVERSITY COLLEGE LONDON ,Jan-18,11589
E09000001,UNIVERSITY COLLEGE LONDON ,Feb-18,10692
E09000001,UNIVERSITY COLLEGE LONDON ,Mar-18,11760
E09000001,UNIVERSITY COLLEGE LONDON ,Apr-18,11202
E09000001,UNIVERSITY COLLEGE LONDON ,May-18,12138
E09000001,UNIVERSITY COLLEGE LONDON ,Jun-18,11577
E09000001,UNIVERSITY COLLEGE LONDON ,Jul-18,12143
E09000001,UNIVERSITY COLLEGE LONDON ,Aug-18,11221
E09000001,UNIVERSITY COLLEGE LONDON ,Sep-18,11241
E09000001,UNIVERSITY COLLEGE LONDON ,Oct-18,12355
E09000001,UNIVERSITY COLLEGE LONDON ,Nov-18,12294
E09000001,UNIVERSITY COLLEGE LONDON ,Dec-18,11701
E09000019,WHITTINGTON ,Jan-18,8899
E09000019,WHITTINGTON ,Feb-18,8085
E09000019,WHITTINGTON ,Mar-18,9218
E09000019,WHITTINGTON ,Apr-18,8646
E09000019,WHITTINGTON ,May-18,9229
E09000019,WHITTINGTON ,Jun-18,8699
E09000019,WHITTINGTON ,Jul-18,9288
E09000019,WHITTINGTON ,Aug-18,8159
E09000019,WHITTINGTON ,Sep-18,8897
E09000019,WHITTINGTON ,Oct-18,9082
E09000019,WHITTINGTON ,Nov-18,9245
E09000019,WHITTINGTON ,Dec-18,9219
